author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1.45274E+18,2022-02-01 23:55:15+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for Android,"@FreddyInSpace Lol @ these ""snowflakes"" who refuse to wear a mask and like to argue with elderly women whom of which have no prob at all wearing a mask.....donald chump has caused more damage than we know"
1.16599E+18,2022-02-01 23:55:04+00:00, ,1.48866E+18,en,1,1,0,0,Twitter for Android,*&amp; one of the elders said to me!*“Weep no more!*behold!*the Lion of the tribe of Judah!*the Root of David!*has conquered!*so that he can open the scroll*&amp; its seven seals!”👑♥👑♥👑♥👑♥👑♥👑*Revelation 5:5*🐧🐬🦉💃🏽🐕🐦🕺🐈🐄💖🐪🐐✨👉➡ https://t.co/ioiqGHGo42 https://t.co/4AI6ES82EY
1.40117E+18,2022-02-01 23:55:03+00:00, ,1.48866E+18,en,7,0,7,1,Twitter for Android,What Was your first Elder Scrolls game
9.14756E+17,2022-02-01 23:54:57+00:00, ,1.48866E+18,en,0,0,1,0,Twitter for Android,"@RandySoulWatson @JustinLascek Wife's a nurse, and she say's it's high risk people (fat, diabetic, autoimmune diseases, cancer patients, elderly) that go in for covid, and to everyone else, it is the flu... ✌✌"
8.81671E+17,2022-02-01 23:54:52+00:00, ,1.48866E+18,en,3,0,0,0,Twitter for iPad,"@OMGTheMess Albo will follow the other State clowns in locking down the country &amp; discriminating against healthy unvaccinated people that will not sacrifice themselves for the unhealthy

How many dead vaccinated children will it take to save one elderly sick person?

No risk/benefit analysis"
1.41977E+18,2022-02-01 23:54:50+00:00, ,1.48866E+18,en,1,0,0,0,Twitter for Android,@ANeonGreenCity yo they already stole the land now they gotta steal our Elders drums? come the fuck on settlers
1.11341E+18,2022-02-01 23:54:36+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,"@Elder_NFT @CryptoBees_NFT 🐝🪁💛

Floor Price: 0.0015⭐️🙌🏼
Grab one, before its available🐝

https://t.co/q7nWYmJpa7

#nft https://t.co/CQsQCHET0R"
16188864,2022-02-01 23:54:15+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPad,Witnesses: Elderly Palestinian who died after Israeli detention lay motionless as soldiers looked on - Israel News - https://t.co/Vn5ZUPl1Ok https://t.co/WtSnoTNvRn
1.16599E+18,2022-02-01 23:54:07+00:00, ,1.48866E+18,en,1,1,0,0,Twitter for Android,*&amp; one of the elders said to me!*“Weep no more!*behold!*the Lion of the tribe of Judah!*the Root of David!*has conquered!*so that he can open the scroll*&amp; its seven seals!”👑♥👑♥👑♥👑♥👑♥👑*Revelation 5:5*🐧🐬🦉💃🏽🐕🐦🕺🐈🐄💖🐪🐐✨👉➡ https://t.co/i7TJK6YCqT https://t.co/U5yiJ1DaBX
1.31838E+18,2022-02-01 23:54:02+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,"01/21/2022 Funeral Director in UK said current soaring deaths confirmed the predicted fears by the professionals. The death number is ever-growing, particularly of thrombosis case. The deaths are not just the elderly. There are people in their 20s, 30s https://t.co/kBfUakDdbk"
161907408,2022-02-01 23:53:46+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,Why would someone who does’t take care of themselves by refusing to take basic precautions during a deadly pandemic to receive such gift? No matter your seniority on the list if you cant take care of yourself than than the organ should go to someone else and not be wasted. https://t.co/2ObaIzjJgQ
